Age,Income,EmploymentType,ResidenceType,CreditScore,LoanAmount,LoanTerm,PreviousDefault,PredictedRisk
60,24611,0.0,1.0,598,49900,36,0,Medium Risk
50,47663,0.0,1.0,753,47946,24,0,Medium Risk
36,71991,0.0,1.0,674,12851,60,0,Medium Risk
64,77679,1.0,1.0,698,21288,60,0,Medium Risk
29,124182,0.0,1.0,659,12156,48,0,Medium Risk
42,50977,0.0,0.0,619,7044,24,1,High Risk
60,114704,0.0,0.0,681,12368,36,0,Medium Risk
40,69115,0.0,1.0,572,24900,24,0,High Risk
44,111007,0.0,1.0,595,35600,24,0,Medium Risk
32,108223,,0.0,686,30634,48,0,Medium Risk
32,80890,0.0,,582,14168,48,0,Medium Risk
45,86387,0.0,0.0,640,25961,36,0,Medium Risk
57,38071,0.0,0.0,642,49096,60,0,Medium Risk
61,79275,0.0,1.0,623,28852,36,0,Medium Risk
45,92369,1.0,1.0,552,38110,36,0,High Risk
24,31938,0.0,1.0,618,37174,36,0,Medium Risk
43,55195,0.0,1.0,608,39215,60,0,Medium Risk
23,111680,1.0,,658,31955,12,0,Medium Risk
45,24000,0.0,0.0,655,11581,60,0,Medium Risk
65,90588,1.0,,668,49619,60,1,High Risk
51,121042,0.0,1.0,616,11317,24,0,Medium Risk
59,113610,1.0,0.0,676,47856,36,1,High Risk
23,140420,0.0,0.0,572,31649,60,0,High Risk
42,123691,1.0,1.0,558,28132,36,1,High Risk
54,126306,0.0,1.0,533,21789,60,1,High Risk
33,117856,0.0,,625,19567,60,0,Medium Risk
43,58304,0.0,1.0,612,19868,36,0,Medium Risk
65,131783,,,689,29370,36,0,Medium Risk
46,89449,1.0,1.0,617,47533,60,0,Medium Risk
48,102986,1.0,0.0,663,35483,48,0,Medium Risk
63,109643,0.0,,690,17466,24,0,Medium Risk
49,40764,1.0,0.0,615,33803,12,0,Medium Risk
37,128940,0.0,0.0,664,23230,36,0,Medium Risk
36,106027,0.0,,700,22862,60,0,Low Risk
68,58494,0.0,0.0,588,48355,60,0,Medium Risk
65,23373,1.0,1.0,651,36259,48,0,Medium Risk
24,32161,0.0,0.0,615,38539,24,0,Medium Risk
58,117532,0.0,1.0,591,26909,24,0,Medium Risk
28,112658,1.0,1.0,573,35795,60,0,High Risk
42,143633,0.0,1.0,590,13770,24,0,Medium Risk
30,120386,0.0,0.0,653,16093,24,0,Medium Risk
60,47350,0.0,0.0,569,5193,24,0,High Risk
39,113008,0.0,1.0,622,39775,48,0,Medium Risk
25,114297,0.0,0.0,690,22569,60,0,Medium Risk
46,45351,0.0,1.0,672,16190,24,0,Medium Risk
35,108668,,,623,47752,36,0,Medium Risk
30,134585,0.0,,734,37327,48,0,Low Risk
47,35305,0.0,1.0,744,47070,60,0,Medium Risk
23,95353,1.0,1.0,651,25389,24,0,Medium Risk
41,96797,0.0,0.0,526,45197,36,0,High Risk
49,85953,0.0,,694,7261,36,0,Medium Risk
68,77458,0.0,1.0,535,33369,60,1,High Risk
28,127112,0.0,,723,31512,36,0,Low Risk
65,40358,0.0,0.0,704,11716,24,0,Medium Risk
29,23267,1.0,0.0,738,26259,48,0,Medium Risk
68,102745,,1.0,663,33933,48,0,Medium Risk
56,109588,0.0,0.0,631,46689,12,0,Medium Risk
35,58513,0.0,,627,9378,60,0,Medium Risk
38,46092,0.0,0.0,622,45583,24,0,Medium Risk
57,31338,1.0,1.0,699,24835,36,1,High Risk
61,20412,0.0,0.0,685,34033,36,0,Medium Risk
25,27543,0.0,,656,29000,48,0,Medium Risk
23,125891,0.0,1.0,613,15332,36,0,Medium Risk
27,53496,0.0,0.0,781,47604,60,0,Low Risk
63,80692,1.0,1.0,695,7800,48,0,Medium Risk
25,109084,0.0,,570,34538,48,0,High Risk
50,112920,1.0,,624,35119,48,0,Medium Risk
39,143555,0.0,1.0,696,13333,48,0,Medium Risk
47,64425,1.0,1.0,610,10410,12,0,Medium Risk
65,58756,0.0,,667,22839,36,1,High Risk
55,38888,0.0,1.0,697,35519,60,0,Medium Risk
31,55735,,,480,10808,24,0,High Risk
57,67295,1.0,0.0,644,11796,48,0,Medium Risk
35,137474,1.0,,646,26180,60,1,High Risk
52,134352,0.0,1.0,629,48056,12,0,Medium Risk
69,103042,1.0,,665,22709,48,0,Medium Risk
36,105999,0.0,1.0,682,22543,36,1,High Risk
29,37955,1.0,0.0,657,42418,36,0,Medium Risk
35,57841,0.0,1.0,631,34075,12,0,Medium Risk
44,90640,1.0,,681,42755,12,0,Medium Risk
61,85510,1.0,0.0,652,42465,48,0,Medium Risk
